year,electorate,party,candidate,all,ordinary,special
2014,Mt Albert,National Party,"LEE, Melissa",10314,8756,1558
2014,Mt Roskill,Conservative,"DAVIE, Paul Clifford",1094,958,136
2014,Mt Roskill,Green Party,"COATES, Robert Barry Hobson",1682,1286,396
2014,Mt Roskill,Labour Party,"GOFF, Philip Bruce",18637,16213,2424
2014,Mt Roskill,MANA Movement,"MINTO, John Bernard",300,235,65
2014,Mt Roskill,NZ First,"BINDRA, Mahesh",717,612,105
2014,Mt Roskill,National Party,"PARMAR, Kushmiita Parmjeet Kaur",10546,9325,1221
2014,Napier,Alliance,"O'NEILL, Mary Jelena",59,53,6
2014,Napier,Conservative,"McVICAR, Garth Neil",7603,7141,462
2014,Napier,Democrats for Social Credit,"PULFORD, Barry Reece",51,47,4
2014,Napier,Green Party,"BAILEY, Paul Edward",1363,1081,282
2014,Napier,Labour Party,"NASH, Stuart Alexander",15343,14035,1308
2014,Napier,National Party,"WALFORD, Wayne Douglas",11493,10302,1191
2014,Nelson,ACT,"HUFFLETT, Paul Charles",193,169,24
2014,Nelson,Conservative,"GREEN, John Langlands",1125,1030,95
2014,Nelson,Democrats for Social Credit,"BAYLY, Adrian James",138,127,11
2014,Nelson,Green Party,"ROBERTSON, Colin Donald",3449,2952,497
2014,Nelson,Labour Party,"STREET, Maryan",12395,11289,1106
2014,Nelson,Money Free Party,"OSMASTON, Richard Francis",175,148,27
2014,Nelson,National Party,"SMITH, Nick",20000,18369,1631
2014,New Lynn,Conservative,"TAYLOR, Stephen Dylan",1269,1136,133
2014,New Lynn,Democrats for Social Credit,"LEITCH, Andrew Simon",128,118,10
2014,New Lynn,Green Party,"ROGERS, Daniel",2579,2099,480
2014,New Lynn,Labour Party,"CUNLIFFE, David Richard",16534,14327,2207
2014,New Lynn,National Party,"GROSER, Timothy John",11977,10743,1234
2014,New Plymouth,ACT,"GRAY, James Stephen",205,181,24
2014,New Plymouth,Aotearoa Legalise Cannabis Party,"DOMBROSKI, Jamie Jeffery",701,606,95
2014,New Plymouth,Conservative,"STORR, Angela Maria",633,582,51
2014,New Plymouth,Green Party,"ROBERTS, Sarah Ngaire",2025,1733,292
2014,New Plymouth,Labour Party,"LITTLE, Andrew James",11788,10778,1010
2014,New Plymouth,National Party,"YOUNG, Jonathan Edgar Joseph",21566,19966,1600
2014,North Shore,ACT,"KEARNEY, Nicholas Norman",575,490,85
2014,North Shore,Conservative,"PERKIN, Melissa Mary",2199,2006,193
2014,North Shore,Democrats for Social Credit,"LEITCH, Timothy Paul",97,80,17
2014,North Shore,Green Party,"STANSFIELD, Brett Thomas",3728,3065,663
2014,North Shore,Labour Party,"SZABÃ“, Claire Elizabeth",7280,6378,902
2014,North Shore,National Party,"BARRY, Margaret Mary",23783,20959,2824
2014,Northcote,ACT,"KRONFELD, Timothy Paul",383,334,49
2014,Northcote,Conservative,"WEBSTER, Matthew James",974,860,114
2014,Northcote,Green Party,"SMITHSON, Anne-Elise",3030,2485,545
2014,Northcote,Internet Party,"HO, Gil",270,213,57
2014,Northcote,Labour Party,"HILLS, Richard Brian",10032,8844,1188
2014,Northcote,National Party,"COLEMAN, Jonathan David",19696,17559,2137
2014,Northcote,United Future,"LIGHT, Damian Francis",159,137,22
2014,Northland,ACT,"NELSON, Craig",200,180,20
2014,Northland,Conservative,"TAYLOR, Melanie Jane",1555,1452,103
2014,Northland,Democrats for Social Credit,"WILSON, David Angus",173,160,13
2014,Northland,Focus NZ,"RINTOUL, Kenneth Alan",1661,1557,104
2014,Northland,Green Party,"CLENDON, David James",3639,3107,532
2014,Northland,Independent,"ROBERTSON, Murray",96,91,5
2014,Northland,Labour Party,"PRIME, Willow-Jean",8969,8097,872
2014,Northland,Money Free Party,"TIMMS, Glen Craig",75,67,8
2014,Northland,National Party,"SABIN, Michael Lewis",18269,16852,1417
2014,Ohariu,ACT,"FITZPATRICK, Sean Daniel Thomas",209,176,33
2014,Ohariu,Conservative,"BRUNNER, Michael Johann",1038,928,110
2014,Ohariu,Democrats for Social Credit,"STEEMSON, Alida Katherine",46,41,5
2014,Ohariu,Green Party,"WOODLEY, Tane Hohepa",2764,2264,500
2014,Ohariu,Independent,"HAMILL, Sue",211,183,28
2014,Ohariu,Labour Party,"ANDERSEN, Virginia Ruby",12859,11331,1528
2014,Ohariu,National Party,"HUDSON, Brett John",6120,5222,898
2014,Ohariu,United Future,"DUNNE, Peter Francis",13569,12278,1291
2014,Otaki,Conservative,"LOVELOCK, Anne Christine",913,848,65
2014,Otaki,Green Party,"DREW, Madeleine Rose",2462,2075,387
2014,Otaki,Independent,"MACDONALD, Frederick John",118,106,12
2014,Otaki,Independent,"VICKERS, Amanda Michelle",203,178,25
2014,Otaki,Labour Party,"McCANN, Robert Eric",13198,12040,1158
2014,Otaki,National Party,"GUY, Allen Nathan",20980,19363,1617
2014,Pakuranga,ACT,"WHYTE, Jamie Thomas",2030,1852,178
2014,Pakuranga,Conservative,"CRAIG, Andrew Ross",3465,3214,251
2014,Pakuranga,Labour Party,"KIRKER, Barry Eric",7521,6628,893
2014,Pakuranga,National Party,"WILLIAMSON, Maurice Donald",20388,18498,1890
2014,Palmerston North,Conservative,"PEARCE, Mark",689,615,74
2014,Palmerston North,Internet Party,"FARVID, Pantea",250,185,65
2014,Palmerston North,Labour Party,"LEES-GALLOWAY, Iain Francis",16885,15157,1728
2014,Palmerston North,NZ First,"BALL, Darroch Leicester",1217,1077,140
2014,Palmerston North,National Party,"NAYLOR, Jonathan Mark",14673,13294,1379
2014,Papakura,ACT,"THOMPSON, John Stanley",412,356,56
2014,Papakura,Conservative,"STITT, Kevin Eric",1292,1166,126
2014,Papakura,Green Party,"CONROY, Caroline Anne",1790,1491,299
2014,Papakura,Labour Party,"MIKA, Jerome",10469,9122,1347
2014,Papakura,MANA Movement,"FOWLER, Roger Norman",174,142,32
2014,Papakura,Maori Party,"KENDALL, Anne Marie",239,206,33
2014,Papakura,NZ First,"CATCHPOLE, Brent Stanley",3374,3050,324
2014,Papakura,National Party,"COLLINS, Judith Anne",15588,13999,1589
2014,Port Hills,ACT,"RUSSELL, Geoffrey Neil",145,130,15
2014,Port Hills,Conservative,"BROSNAN, Christopher Michael",626,543,83
2014,Port Hills,Democrats for Social Credit,"GRIBBEN, Gary James",52,48,4
2014,Port Hills,Green Party,"SAGE, Eugenie Meryl",3059,2525,534
2014,Port Hills,Labour Party,"DYSON, Ruth Suzanne",18161,16343,1818
2014,Port Hills,NZ First,"O'ROURKE, Denis John",1131,1004,127
2014,Port Hills,National Party,"KORAKO, Tutehounuku",15933,14475,1458
2014,Rangitata,ACT,"CORBETT, Thomas Frederick",469,426,43
2014,Rangitata,Conservative,"VITALI, Oliver",1577,1478,99
2014,Rangitata,Labour Party,"GIBSON, Steven John",9411,8720,691
2014,Rangitata,National Party,"GOODHEW, Joanne Gay",23518,21912,1606
2014,Rangitikei,ACT,"WILSON, Neil John",179,157,22
2014,Rangitikei,Conservative,"BROWN, Roy Kerry",1505,1374,131
2014,Rangitikei,Labour Party,"RUSSELL, Deborah Faye",9427,8497,930
2014,Rangitikei,NZ First,"RUDZKI, Romuald Edward John",2352,2150,202
2014,Rangitikei,National Party,"McKELVIE, Ian Robert Flockhart",20487,18772,1715
2014,Rimutaka,Conservative,"LYNCH, Philip Michael",973,882,91
2014,Rimutaka,Green Party,"RUTHVEN, Susanne Marie",1727,1437,290
2014,Rimutaka,Labour Party,"HIPKINS, Christopher John",19286,17327,1959
2014,Rimutaka,NZ First,"HUNT, Aaron Ronald",1785,1594,191
2014,Rimutaka,National Party,"HOLDEN, Lewis",12622,11516,1106
2014,Rodney,ACT,"HOULBROOKE, Beth Patricia",244,208,36
2014,Rodney,Conservative,"HEYNS, Anton Zietsman",2210,2012,198
2014,Rodney,Green Party,"McALL, Malcolm Ley Stuart",3454,2940,514
2014,Rodney,Labour Party,"BOLT, Eric Duke",4289,3818,471
2014,Rodney,NZ First,"MARTIN, Tracey Anne",3951,3659,292
2014,Rodney,National Party,"MITCHELL, Mark Patrick",24519,22460,2059
2014,Rongotai,Climate Party,"CARTER, Aaron Richard Edward Storer",66,53,13
2014,Rongotai,Conservative,"WELSH, Bruce Alexander",576,512,64
2014,Rongotai,Green Party,"NORMAN, Russel William",7856,6351,1505
2014,Rongotai,Independent,"RICHARDS, Donald William",89,75,14
2014,Rongotai,Labour Party,"KING, Annette Faye",18840,16407,2433
2014,Rongotai,MANA Movement,"PARETUTANGANUI-TAMATI, Ariana",225,181,44
2014,Rongotai,NZ First,"PIERSON, Brent",793,706,87
2014,Rongotai,National Party,"FINLAYSON, Christopher Francis",9223,8087,1136
2014,Rongotai,Patriotic Revolutionary Front,"OVERTON, John Malcolm",48,45,3
2014,Rongotai,United Future,"EUSOFF, Mohamed Sultan",95,77,18
2014,Rotorua,ACT,"RUSSELL, Lyall",132,116,16
2014,Rotorua,Conservative,"DAVIDSON, Michael Jack",610,546,64
2014,Rotorua,Labour Party,"COFFEY, Tamati Gerald",11297,10041,1256
2014,Rotorua,NZ First,"TABUTEAU, Fletcher",2466,2245,221
2014,Rotorua,National Party,"McCLAY, Todd Michael",18715,17191,1524
2014,Selwyn,ACT,"GILBERT, Paul de Vallenger",83,68,15
2014,Selwyn,Conservative,"CLIBBORN, Roger Barclay",619,568,51
2014,Selwyn,Green Party,"HILL, Peter Selwyn",4064,3515,549
2014,Selwyn,Labour Party,"DICKSON, Gordon John",3835,3399,436
2014,Selwyn,Maori Party,"GARDYNE, Sheryl Ann",129,112,17
2014,Selwyn,NZ First,"WOODS, William Edward",1841,1659,182
2014,Selwyn,National Party,"ADAMS, Amy Juliet",24625,22186,2439
2014,Tamaki,ACT,"MILNE, Michael John",474,416,58
2014,Tamaki,Conservative,"MOUNTAIN, Daniel Luke",610,545,65
2014,Tamaki,Green Party,"SIGGAARD, Dorthe",3711,3086,625
2014,Tamaki,Labour Party,"WU, Chao-Fu",5118,4436,682
2014,Tamaki,MANA Movement,"GIBSON, Lisa Belle",302,239,63
2014,Tamaki,National Party,"O'CONNOR, Simon",25539,22639,2900
2014,Tamaki Makaurau,Green Party,"DAVIDSON, Marama Mere-Ana",3136,2592,544
2014,Tamaki Makaurau,Independent,"HARRISON, Raewyn Emma",317,283,34
2014,Tamaki Makaurau,Labour Party,"HENARE, Peeni Ereatara Gladwyn",7533,6449,1084
2014,Tamaki Makaurau,MANA Movement,"PENE, Kereama",2624,2136,488
2014,Tamaki Makaurau,Maori Party,"McLEAN, Rangi",6071,5262,809
2014,Taranaki-King Country,Conservative,"AISH, Edward Walter Paul",1420,1280,140
2014,Taranaki-King Country,Democrats for Social Credit,"ESPIN, David Craig",152,144,8
2014,Taranaki-King Country,Green Party,"MOORE, Robert Bruce",3091,2671,420
2014,Taranaki-King Country,Internet Party,"KEINZLEY, Grant Thomas",209,178,31
2014,Taranaki-King Country,Labour Party,"GAYLOR, Penelope Louise",5555,5044,511
2014,Taranaki-King Country,National Party,"KURIGER, Barbara Joan",22328,20498,1830
2014,Taupo,Conservative,"GEDGE, Lance",891,828,63
2014,Taupo,Democrats for Social Credit,"PEMBERTON, John Stuart",71,61,10
2014,Taupo,Green Party,"ROBINSON, David John",1934,1630,304
2014,Taupo,Labour Party,"STRANGE, Jamie Ross",7402,6743,659
2014,Taupo,Maori Party,"WINITANA, Claire Te Atamira",366,317,49
2014,Taupo,NZ First,"PERRY, Edwin Jock",2310,2130,180
2014,Taupo,National Party,"UPSTON, Louise Claire",22448,20508,1940
2014,Taupo,United Future,"SIMMONS, Alan Frank",143,132,11
2014,Tauranga,ACT,"PEDERSEN, Stuart John",154,132,22
2014,Tauranga,Conservative,"HESLOP, Nathaniel John",1065,966,99
2014,Tauranga,Green Party,"McLEAN, Ian Gordon",2177,1816,361
2014,Tauranga,Independent,"KANE, Rusty",84,69,15
2014,Tauranga,Independent,"LAMARE, Yvette Nora",46,41,5
2014,Tauranga,Labour Party,"JONES, Rachel Anne",5869,5280,589
2014,Tauranga,Maori Party,"GATE, Verna Te Roha",188,168,20
2014,Tauranga,NZ First,"MITCHELL, Clayton Robert Henry",5851,5431,420
2014,Tauranga,NZ Independent Coalition,"O'NEILL, Michael Bryan",179,159,20
2014,Tauranga,National Party,"BRIDGES, Simon Joseph",20711,18901,1810
2014,Tauranga,United Future,"MAXWELL, James Waerengaahika",87,79,8
2014,Te Atatu,ACT,"FLETCHER, Stephen James",416,348,68
2014,Te Atatu,Aotearoa Legalise Cannabis Party,"McDERMOTT, Adrian Gordon",328,267,61
2014,Te Atatu,Conservative,"O'ROURKE, Thomas Patrick",965,878,87
2014,Te Atatu,Green Party,"STEWART, Gary Todd",1618,1325,293
2014,Te Atatu,Internet Party,"YONG, Christopher Vun Han",300,232,68
2014,Te Atatu,Labour Party,"TWYFORD, Philip Stoner",15676,13814,1862
2014,Te Atatu,National Party,"NGARO, Alfred",12863,11582,1281
2014,Te Tai Hauauru,Green Party,"McDONALD, Jack Baxter",3004,2561,443
2014,Te Tai Hauauru,Labour Party,"RURAWHE, Adrian Paki",8089,7144,945
2014,Te Tai Hauauru,MANA Movement,"WINIATA-HAINES, Jordan",1940,1599,341
2014,Te Tai Hauauru,Maori Party,"McKENZIE, Christopher Owen",6535,5732,803
2014,Te Tai Tokerau,Independent,"DEARLOVE, Clinton",454,380,74
2014,Te Tai Tokerau,Labour Party,"DAVIS, Kelvin Glen",9712,8556,1156
2014,Te Tai Tokerau,MANA Movement,"HARAWIRA, Hone Pani Tamati Waka Nene",8969,7406,1563
2014,Te Tai Tokerau,Maori Party,"PAENGA, Te Hira Keretene Te Whakaiti",2579,2182,397
2014,Te Tai Tonga,Aotearoa Legalise Cannabis Party,"KINGI, Emma-Jane Mihaere",1005,877,128
2014,Te Tai Tonga,Democrats for Social Credit,"SAWYERS, Jason Paul",165,144,21
2014,Te Tai Tonga,Green Party,"LANGSBURY, Dora Roimata",3173,2711,462
2014,Te Tai Tonga,Labour Party,"TIRIKATENE, Rino",8445,7552,893
2014,Te Tai Tonga,MANA Movement,"BEYER, Georgina",1996,1691,305
2014,Te Tai Tonga,Maori Party,"BUTTON, Ngaire Lorraine",4891,4330,561
2014,Tukituki,ACT,"LENNOX, Kenneth Duncan",163,143,20
2014,Tukituki,Aotearoa Legalise Cannabis Party,"MANNING, Romana Lea",355,296,59
2014,Tukituki,Conservative,"JENKINSON, Stephen",1920,1776,144
2014,Tukituki,Democrats for Social Credit,"RYAN, Richard Francis",97,89,8
2014,Tukituki,Green Party,"PERLEY, Christopher John Keith",2156,1828,328
2014,Tukituki,Labour Party,"LORCK, Anna Louise",12047,11031,1016
2014,Tukituki,National Party,"FOSS, Craig",18537,16925,1612
2014,Upper Harbour,ACT,"BERRY, Stephen James",549,457,92
2014,Upper Harbour,Conservative,"BLAIR, Callum Ross",1839,1637,202
2014,Upper Harbour,Green Party,"MAYNE, Nicholas Robert",2619,2105,514
2014,Upper Harbour,Labour Party,"RETZLAFF, Hermann Paul",8623,7366,1257
2014,Upper Harbour,MANA Movement,"NGATA, Makelesi Maxine",204,161,43
2014,Upper Harbour,Maori Party,"TE HAU, Te Hinurewa Ngahiwi Tame Kawe",246,193,53
2014,Upper Harbour,National Party,"BENNETT, Paula Lee",18315,16085,2230
2014,Waiariki,Labour Party,"WAITITI, Rawiri Wikuki",5837,5192,645
2014,Waiariki,MANA Movement,"SYKES, Annette Te Imaima",5482,4778,704
2014,Waiariki,Maori Party,"FLAVELL, Te Ururoa James William Ben",9726,8629,1097
2014,Waiariki,NZ Independent Coalition,"SPELLMAN, Patrick John Junior",301,270,31
2014,Waikato,ACT,"BURROW, Michael Ian",290,255,35
2014,Waikato,Conservative,"DOBBS, Brian Raymond",1442,1313,129
2014,Waikato,Democrats for Social Credit,"RANSOM, Katherine Elizabeth",172,155,17
2014,Waikato,Labour Party,"GREER, Christine",6742,5987,755
2014,Waikato,NZ First,"STEWART, Barbara Joy",3330,3030,300
2014,Waikato,National Party,"TISCH, William Lindsay",22911,20871,2040
2014,Waimakariri,Conservative,"PRICE, Benjamin Daniel",816,722,94
2014,Waimakariri,Democrats for Social Credit,"ADCOCK-WHITE, Peter Dominic",62,54,8
2014,Waimakariri,Green Party,"HUNT, Reuben Timothy",1506,1281,225
2014,Waimakariri,Labour Party,"COSGROVE, Clayton James",14757,13539,1218
2014,Waimakariri,Maori Party,"RERITI-CROFTS, Aroha Hohipera",92,74,18
2014,Waimakariri,NZ First,"PROSSER, Richard Ivor",1024,926,98
2014,Waimakariri,National Party,"DOOCEY, Matthew Maurice",17263,15689,1574
2014,Wairarapa,ACT,"ATKINSON, Shane",90,79,11
2014,Wairarapa,Conservative,"REID, Brent Allan",816,760,56
2014,Wairarapa,Green Party,"HART, John Stuart",1566,1286,280
2014,Wairarapa,Labour Party,"McANULTY, Kieran Michael",9452,8699,753
2014,Wairarapa,Maori Party,"SMITH, Rawiri Richard",181,158,23
2014,Wairarapa,NZ First,"MARK, Ron Stanley",8630,8012,618
2014,Wairarapa,National Party,"SCOTT, Alastair Oliver",16223,14909,1314
2014,Waitaki,Conservative,"AUBREY, Donald Andrew",1417,1316,101
2014,Waitaki,Democrats for Social Credit,"VAN WIEREN, Hessel Christiaan",253,233,20
2014,Waitaki,Green Party,"COUTTS, Susan Jane",4878,4257,621
2014,Waitaki,Labour Party,"ALEXANDER, Glenda Adele",7879,7237,642
2014,Waitaki,National Party,"DEAN, Jacqueline Isobel",24547,22430,2117
2014,Wellington Central,Aotearoa Legalise Cannabis Party,"GREGORY, Alistair",353,259,94
2014,Wellington Central,Conservative,"HOOPER, Brian William",307,252,55
2014,Wellington Central,Democrats for Social Credit,"KNUCKEY, James Nicholas Ransom",57,42,15
2014,Wellington Central,Green Party,"SHAW, James Peter Edward",5077,3670,1407
2014,Wellington Central,Independent,"KARENA WHUIMAONO, Geoffrey",52,38,14
2014,Wellington Central,Independent,"ROBINSON, Peter Franklin",90,68,22
2014,Wellington Central,Internet Party,"VALENTINE, Callum Nicholas",217,150,67
2014,Wellington Central,Labour Party,"ROBERTSON, Grant Murray",19807,16092,3715
2014,Wellington Central,NZ First,"BARR, Hugh",580,465,115
2014,Wellington Central,National Party,"FOSTER-BELL, Paul Ayers Robert",11540,9546,1994
2014,West Coast-Tasman,Ban1080,"SALTER, Peter",2318,2133,185
2014,West Coast-Tasman,Conservative,"HOLLEY, Claire Margaret",1031,949,82
2014,West Coast-Tasman,Green Party,"HAGUE, Kevin Grant",2385,2019,366
2014,West Coast-Tasman,Independent,"WILKINSON, Steven Crawford George",228,198,30
2014,West Coast-Tasman,Labour Party,"O'CONNOR, Damien Peter",16747,15418,1329
2014,West Coast-Tasman,Money Free Party,"BOOMERT, John Laurence",50,43,7
2014,West Coast-Tasman,National Party,"PUGH, Maureen Helena",12653,11730,923
2014,Whanganui,ACT,"DAVIDSON, Alan Daniel",252,229,23
2014,Whanganui,Conservative,"MacINTYRE, Kim Grant",872,802,70
2014,Whanganui,Democrats for Social Credit,"SMITH, Heather Marion",208,197,11
2014,Whanganui,Labour Party,"McDOUALL, Hamish Crichton",14144,13086,1058
2014,Whanganui,Maori Party,"TUAINE, Nancy Te Urumanao",610,533,77
2014,Whanganui,National Party,"BORROWS, Kerry James",18649,17377,1272
2014,Whangarei,ACT,"GRIEVE, Robin Barrie",285,264,21
2014,Whangarei,Conservative,"NIGHTINGALE, Donald Roy",984,912,72
2014,Whangarei,Democrats for Social Credit,"LEITCH, Christopher John",978,934,44
2014,Whangarei,Focus NZ,"KING, Leslie Raymond",136,127,9
2014,Whangarei,Green Party,"DOHERTY, Paul William",3163,2741,422
2014,Whangarei,Internet Party,"CURRIN, David Brett",341,288,53
2014,Whangarei,Labour Party,"ELLIS, Siobhan Kelly",6942,6358,584
2014,Whangarei,Maori Party,"KAIPO, Anaru Joseph",300,252,48
2014,Whangarei,NZ First,"PARAONE, Rewiti Pomare Kingi",2944,2746,198
2014,Whangarei,National Party,"RETI, Shane Raymond",20111,18747,1364
2014,Wigram,ACT,"GRIEVE, Shaun Hayden",318,267,51
2014,Wigram,Conservative,"PETERS, Mark Jonathan",847,752,95
2014,Wigram,Democrats for Social Credit,"RING, John Charles",79,69,10
2014,Wigram,Green Party,"WESLEY, Richard Laurence",2324,1867,457
2014,Wigram,Internet Party,"McCLINTOCK, Lois Marie",213,176,37
2014,Wigram,Labour Party,"WOODS, Megan Cherie",14519,12990,1529
2014,Wigram,Maori Party,"PHILLIPS, Te Whe Ariki",122,98,24
2014,Wigram,NZ Economic Euthenics Party,"HANSEN, Christopher Michael",51,39,12
2014,Wigram,National Party,"VARLEY, Karl Daniel",11189,9919,1270
