year,electorate,party,all,ordinary,special
2002,Aoraki,ACT,1377,1271,106
2002,Aoraki,Alliance,337,298,39
2002,Aoraki,Christian Heritage,387,356,31
2002,Aoraki,Green Party,1613,1439,174
2002,Aoraki,Labour Party,13950,12911,1039
2002,Aoraki,Legalise Cannabis,264,238,26
2002,Aoraki,Mana Maori,11,8,3
2002,Aoraki,NMP,8,7,1
2002,Aoraki,NZ First,2758,2582,176
2002,Aoraki,National Party,7550,6870,680
2002,Aoraki,OneNZ Party,10,9,1
2002,Aoraki,Outdoor Rec. NZ,521,490,31
2002,Aoraki,Progressive Coalition,643,602,41
2002,Aoraki,United Future,1879,1748,131
2002,Auckland Central,ACT,3358,2718,640
2002,Auckland Central,Alliance,513,417,96
2002,Auckland Central,Christian Heritage,163,137,26
2002,Auckland Central,Green Party,4990,3905,1085
2002,Auckland Central,Labour Party,13929,11425,2504
2002,Auckland Central,Legalise Cannabis,164,119,45
2002,Auckland Central,Mana Maori,20,11,9
2002,Auckland Central,NMP,3,3,0
2002,Auckland Central,NZ First,1809,1524,285
2002,Auckland Central,National Party,4748,3751,997
2002,Auckland Central,OneNZ Party,15,9,6
2002,Auckland Central,Outdoor Rec. NZ,137,102,35
2002,Auckland Central,Progressive Coalition,468,415,53
2002,Auckland Central,United Future,1266,1049,217
2002,Banks Peninsula,ACT,2744,2486,258
2002,Banks Peninsula,Alliance,469,401,68
2002,Banks Peninsula,Christian Heritage,378,344,34
2002,Banks Peninsula,Green Party,3739,3217,522
2002,Banks Peninsula,Labour Party,14704,13211,1493
2002,Banks Peninsula,Legalise Cannabis,172,137,35
2002,Banks Peninsula,Mana Maori,5,2,3
2002,Banks Peninsula,NMP,2,1,1
2002,Banks Peninsula,NZ First,2340,2126,214
2002,Banks Peninsula,National Party,7892,7039,853
2002,Banks Peninsula,OneNZ Party,13,12,1
2002,Banks Peninsula,Outdoor Rec. NZ,424,361,63
2002,Banks Peninsula,Progressive Coalition,952,860,92
2002,Banks Peninsula,United Future,2717,2544,173
2002,Bay of Plenty,ACT,1458,1317,141
2002,Bay of Plenty,Alliance,162,143,19
2002,Bay of Plenty,Christian Heritage,350,301,49
2002,Bay of Plenty,Green Party,1691,1427,264
2002,Bay of Plenty,Labour Party,9457,8454,1003
2002,Bay of Plenty,Legalise Cannabis,122,102,20
2002,Bay of Plenty,Mana Maori,13,9,4
2002,Bay of Plenty,NMP,3,2,1
2002,Bay of Plenty,NZ First,6896,6305,591
2002,Bay of Plenty,National Party,7130,6377,753
2002,Bay of Plenty,OneNZ Party,15,14,1
2002,Bay of Plenty,Outdoor Rec. NZ,569,519,50
2002,Bay of Plenty,Progressive Coalition,239,219,20
2002,Bay of Plenty,United Future,2506,2276,230
2002,Christchurch Central,ACT,1845,1600,245
2002,Christchurch Central,Alliance,598,523,75
2002,Christchurch Central,Christian Heritage,430,357,73
2002,Christchurch Central,Green Party,3479,2785,694
2002,Christchurch Central,Labour Party,13853,11783,2070
2002,Christchurch Central,Legalise Cannabis,327,264,63
2002,Christchurch Central,Mana Maori,10,6,4
2002,Christchurch Central,NMP,3,3,0
2002,Christchurch Central,NZ First,2106,1849,257
2002,Christchurch Central,National Party,5338,4436,902
2002,Christchurch Central,OneNZ Party,16,11,5
2002,Christchurch Central,Outdoor Rec. NZ,280,244,36
2002,Christchurch Central,Progressive Coalition,930,799,131
2002,Christchurch Central,United Future,2118,1885,233
2002,Christchurch East,ACT,1212,1100,112
2002,Christchurch East,Alliance,466,426,40
2002,Christchurch East,Christian Heritage,441,409,32
2002,Christchurch East,Green Party,2068,1738,330
2002,Christchurch East,Labour Party,16142,14796,1346
2002,Christchurch East,Legalise Cannabis,222,185,37
2002,Christchurch East,Mana Maori,8,6,2
2002,Christchurch East,NMP,3,3,0
2002,Christchurch East,NZ First,2532,2333,199
2002,Christchurch East,National Party,4368,3957,411
2002,Christchurch East,OneNZ Party,15,12,3
2002,Christchurch East,Outdoor Rec. NZ,430,394,36
2002,Christchurch East,Progressive Coalition,1171,1083,88
2002,Christchurch East,United Future,2394,2213,181
2002,Clevedon,ACT,3578,3243,335
2002,Clevedon,Alliance,218,185,33
2002,Clevedon,Christian Heritage,426,374,52
2002,Clevedon,Green Party,1229,1033,196
2002,Clevedon,Labour Party,10739,9477,1262
2002,Clevedon,Legalise Cannabis,122,103,19
2002,Clevedon,Mana Maori,13,8,5
2002,Clevedon,NMP,6,3,3
2002,Clevedon,NZ First,4355,3948,407
2002,Clevedon,National Party,7764,6884,880
2002,Clevedon,OneNZ Party,14,13,1
2002,Clevedon,Outdoor Rec. NZ,350,317,33
2002,Clevedon,Progressive Coalition,320,275,45
2002,Clevedon,United Future,2281,2071,210
2002,Clutha-Southland,ACT,1491,1391,100
2002,Clutha-Southland,Alliance,224,189,35
2002,Clutha-Southland,Christian Heritage,335,312,23
2002,Clutha-Southland,Green Party,1006,866,140
2002,Clutha-Southland,Labour Party,9290,8588,702
2002,Clutha-Southland,Legalise Cannabis,147,122,25
2002,Clutha-Southland,Mana Maori,2,1,1
2002,Clutha-Southland,NMP,1,0,1
2002,Clutha-Southland,NZ First,1977,1842,135
2002,Clutha-Southland,National Party,11881,10982,899
2002,Clutha-Southland,OneNZ Party,13,13,0
2002,Clutha-Southland,Outdoor Rec. NZ,602,539,63
2002,Clutha-Southland,Progressive Coalition,299,283,16
2002,Clutha-Southland,United Future,1928,1802,126
2002,Coromandel,ACT,2137,1924,213
2002,Coromandel,Alliance,175,144,31
2002,Coromandel,Christian Heritage,306,263,43
2002,Coromandel,Green Party,3232,2664,568
2002,Coromandel,Labour Party,11778,10647,1131
2002,Coromandel,Legalise Cannabis,139,103,36
2002,Coromandel,Mana Maori,10,8,2
2002,Coromandel,NMP,7,6,1
2002,Coromandel,NZ First,5740,5269,471
2002,Coromandel,National Party,7663,6904,759
2002,Coromandel,OneNZ Party,27,27,0
2002,Coromandel,Outdoor Rec. NZ,473,418,55
2002,Coromandel,Progressive Coalition,398,349,49
2002,Coromandel,United Future,2159,1979,180
2002,Dunedin North,ACT,1254,1123,131
2002,Dunedin North,Alliance,924,823,101
2002,Dunedin North,Christian Heritage,248,219,29
2002,Dunedin North,Green Party,3697,3162,535
2002,Dunedin North,Labour Party,14866,13301,1565
2002,Dunedin North,Legalise Cannabis,212,176,36
2002,Dunedin North,Mana Maori,9,7,2
2002,Dunedin North,NMP,6,5,1
2002,Dunedin North,NZ First,1333,1212,121
2002,Dunedin North,National Party,4841,4237,604
2002,Dunedin North,OneNZ Party,15,15,0
2002,Dunedin North,Outdoor Rec. NZ,253,220,33
2002,Dunedin North,Progressive Coalition,588,537,51
2002,Dunedin North,United Future,1658,1517,141
2002,Dunedin South,ACT,1144,1052,92
2002,Dunedin South,Alliance,564,526,38
2002,Dunedin South,Christian Heritage,356,328,28
2002,Dunedin South,Green Party,2036,1794,242
2002,Dunedin South,Labour Party,18311,17014,1297
2002,Dunedin South,Legalise Cannabis,213,180,33
2002,Dunedin South,Mana Maori,8,4,4
2002,Dunedin South,NMP,1,1,0
2002,Dunedin South,NZ First,2016,1894,122
2002,Dunedin South,National Party,5004,4578,426
2002,Dunedin South,OneNZ Party,9,8,1
2002,Dunedin South,Outdoor Rec. NZ,415,370,45
2002,Dunedin South,Progressive Coalition,765,715,50
2002,Dunedin South,United Future,1923,1823,100
2002,East Coast,ACT,1396,1275,121
2002,East Coast,Alliance,336,298,38
2002,East Coast,Christian Heritage,308,271,37
2002,East Coast,Green Party,1638,1409,229
2002,East Coast,Labour Party,11687,10791,896
2002,East Coast,Legalise Cannabis,147,114,33
2002,East Coast,Mana Maori,29,19,10
2002,East Coast,NMP,3,3,0
2002,East Coast,NZ First,3989,3748,241
2002,East Coast,National Party,6255,5736,519
2002,East Coast,OneNZ Party,83,78,5
2002,East Coast,Outdoor Rec. NZ,521,478,43
2002,East Coast,Progressive Coalition,484,464,20
2002,East Coast,United Future,1859,1741,118
2002,East Coast Bays,ACT,3796,3436,360
2002,East Coast Bays,Alliance,287,233,54
2002,East Coast Bays,Christian Heritage,334,289,45
2002,East Coast Bays,Green Party,1646,1358,288
2002,East Coast Bays,Labour Party,10722,9526,1196
2002,East Coast Bays,Legalise Cannabis,123,101,22
2002,East Coast Bays,Mana Maori,4,3,1
2002,East Coast Bays,NMP,6,4,2
2002,East Coast Bays,NZ First,3163,2844,319
2002,East Coast Bays,National Party,7876,6991,885
2002,East Coast Bays,OneNZ Party,75,66,9
2002,East Coast Bays,Outdoor Rec. NZ,227,196,31
2002,East Coast Bays,Progressive Coalition,403,356,47
2002,East Coast Bays,United Future,3052,2733,319
2002,Epsom,ACT,6652,5674,978
2002,Epsom,Alliance,332,272,60
2002,Epsom,Christian Heritage,209,161,48
2002,Epsom,Green Party,2161,1662,499
2002,Epsom,Labour Party,9328,7439,1889
2002,Epsom,Legalise Cannabis,90,66,24
2002,Epsom,Mana Maori,6,3,3
2002,Epsom,NMP,4,4,0
2002,Epsom,NZ First,1994,1652,342
2002,Epsom,National Party,9499,7840,1659
2002,Epsom,OneNZ Party,12,7,5
2002,Epsom,Outdoor Rec. NZ,83,61,22
2002,Epsom,Progressive Coalition,254,217,37
2002,Epsom,United Future,1857,1599,258
2002,Hamilton East,ACT,3116,2774,342
2002,Hamilton East,Alliance,365,314,51
2002,Hamilton East,Christian Heritage,395,347,48
2002,Hamilton East,Green Party,2281,1795,486
2002,Hamilton East,Labour Party,11369,9972,1397
2002,Hamilton East,Legalise Cannabis,157,107,50
2002,Hamilton East,Mana Maori,18,10,8
2002,Hamilton East,NMP,2,1,1
2002,Hamilton East,NZ First,3256,2936,320
2002,Hamilton East,National Party,7573,6676,897
2002,Hamilton East,OneNZ Party,17,15,2
2002,Hamilton East,Outdoor Rec. NZ,255,217,38
2002,Hamilton East,Progressive Coalition,356,328,28
2002,Hamilton East,United Future,2643,2374,269
2002,Hamilton West,ACT,2481,2219,262
2002,Hamilton West,Alliance,243,215,28
2002,Hamilton West,Christian Heritage,412,363,49
2002,Hamilton West,Green Party,1748,1464,284
2002,Hamilton West,Labour Party,12715,11456,1259
2002,Hamilton West,Legalise Cannabis,164,121,43
2002,Hamilton West,Mana Maori,14,9,5
2002,Hamilton West,NMP,4,3,1
2002,Hamilton West,NZ First,3577,3265,312
2002,Hamilton West,National Party,6415,5742,673
2002,Hamilton West,OneNZ Party,15,14,1
2002,Hamilton West,Outdoor Rec. NZ,298,270,28
2002,Hamilton West,Progressive Coalition,379,346,33
2002,Hamilton West,United Future,2087,1914,173
2002,Helensville,ACT,3676,3326,350
2002,Helensville,Alliance,299,258,41
2002,Helensville,Christian Heritage,288,241,47
2002,Helensville,Green Party,1755,1459,296
2002,Helensville,Labour Party,8988,7946,1042
2002,Helensville,Legalise Cannabis,118,97,21
2002,Helensville,Mana Maori,10,5,5
2002,Helensville,NMP,2,2,0
2002,Helensville,NZ First,3481,3113,368
2002,Helensville,National Party,7524,6724,800
2002,Helensville,OneNZ Party,15,14,1
2002,Helensville,Outdoor Rec. NZ,313,274,39
2002,Helensville,Progressive Coalition,272,245,27
2002,Helensville,United Future,2416,2198,218
2002,Hutt South,ACT,2474,2234,240
2002,Hutt South,Alliance,462,409,53
2002,Hutt South,Christian Heritage,362,325,37
2002,Hutt South,Green Party,1980,1654,326
2002,Hutt South,Labour Party,13985,12624,1361
2002,Hutt South,Legalise Cannabis,167,138,29
2002,Hutt South,Mana Maori,12,10,2
2002,Hutt South,NMP,1,0,1
2002,Hutt South,NZ First,2139,1969,170
2002,Hutt South,National Party,5718,5192,526
2002,Hutt South,OneNZ Party,22,20,2
2002,Hutt South,Outdoor Rec. NZ,223,201,22
2002,Hutt South,Progressive Coalition,562,525,37
2002,Hutt South,United Future,2700,2511,189
2002,Ikaroa-Rawhiti,ACT,108,97,11
2002,Ikaroa-Rawhiti,Alliance,251,218,33
2002,Ikaroa-Rawhiti,Christian Heritage,298,268,30
2002,Ikaroa-Rawhiti,Green Party,1366,1183,183
2002,Ikaroa-Rawhiti,Labour Party,8875,8061,814
2002,Ikaroa-Rawhiti,Legalise Cannabis,471,407,64
2002,Ikaroa-Rawhiti,Mana Maori,511,407,104
2002,Ikaroa-Rawhiti,NMP,3,3,0
2002,Ikaroa-Rawhiti,NZ First,1832,1652,180
2002,Ikaroa-Rawhiti,National Party,515,453,62
2002,Ikaroa-Rawhiti,OneNZ Party,15,13,2
2002,Ikaroa-Rawhiti,Outdoor Rec. NZ,97,86,11
2002,Ikaroa-Rawhiti,Progressive Coalition,190,173,17
2002,Ikaroa-Rawhiti,United Future,240,213,27
2002,Ilam,ACT,3482,3130,352
2002,Ilam,Alliance,507,442,65
2002,Ilam,Christian Heritage,459,393,66
2002,Ilam,Green Party,2018,1670,348
2002,Ilam,Labour Party,11413,10040,1373
2002,Ilam,Legalise Cannabis,125,87,38
2002,Ilam,Mana Maori,4,4,0
2002,Ilam,NMP,1,0,1
2002,Ilam,NZ First,2400,2170,230
2002,Ilam,National Party,10255,9090,1165
2002,Ilam,OneNZ Party,14,13,1
2002,Ilam,Outdoor Rec. NZ,270,238,32
2002,Ilam,Progressive Coalition,540,484,56
2002,Ilam,United Future,2842,2597,245
2002,Invercargill,ACT,1073,989,84
2002,Invercargill,Alliance,241,206,35
2002,Invercargill,Christian Heritage,301,264,37
2002,Invercargill,Green Party,1298,1136,162
2002,Invercargill,Labour Party,14089,12991,1098
2002,Invercargill,Legalise Cannabis,219,183,36
2002,Invercargill,Mana Maori,2,2,0
2002,Invercargill,NMP,1,1,0
2002,Invercargill,NZ First,1838,1695,143
2002,Invercargill,National Party,8021,7234,787
2002,Invercargill,OneNZ Party,14,12,2
2002,Invercargill,Outdoor Rec. NZ,444,412,32
2002,Invercargill,Progressive Coalition,760,712,48
2002,Invercargill,United Future,1851,1738,113
2002,Kaikoura,ACT,1873,1666,207
2002,Kaikoura,Alliance,197,160,37
2002,Kaikoura,Christian Heritage,508,458,50
2002,Kaikoura,Green Party,2220,1932,288
2002,Kaikoura,Labour Party,12636,11663,973
2002,Kaikoura,Legalise Cannabis,125,107,18
2002,Kaikoura,Mana Maori,4,2,2
2002,Kaikoura,NMP,3,3,0
2002,Kaikoura,NZ First,2825,2623,202
2002,Kaikoura,National Party,8536,7763,773
2002,Kaikoura,OneNZ Party,17,14,3
2002,Kaikoura,Outdoor Rec. NZ,821,747,74
2002,Kaikoura,Progressive Coalition,570,520,50
2002,Kaikoura,United Future,1859,1712,147
2002,Mana,ACT,1821,1653,168
2002,Mana,Alliance,507,460,47
2002,Mana,Christian Heritage,359,318,41
2002,Mana,Green Party,2184,1869,315
2002,Mana,Labour Party,13997,12624,1373
2002,Mana,Legalise Cannabis,182,154,28
2002,Mana,Mana Maori,14,11,3
2002,Mana,NMP,1,1,0
2002,Mana,NZ First,1857,1731,126
2002,Mana,National Party,5088,4605,483
2002,Mana,OneNZ Party,47,46,1
2002,Mana,Outdoor Rec. NZ,212,188,24
2002,Mana,Progressive Coalition,562,524,38
2002,Mana,United Future,2623,2432,191
2002,Mangere,ACT,573,479,94
2002,Mangere,Alliance,273,224,49
2002,Mangere,Christian Heritage,345,276,69
2002,Mangere,Green Party,806,633,173
2002,Mangere,Labour Party,17586,14767,2819
2002,Mangere,Legalise Cannabis,164,121,43
2002,Mangere,Mana Maori,31,21,10
2002,Mangere,NMP,3,2,1
2002,Mangere,NZ First,1585,1369,216
2002,Mangere,National Party,1839,1546,293
2002,Mangere,OneNZ Party,9,8,1
2002,Mangere,Outdoor Rec. NZ,83,69,14
2002,Mangere,Progressive Coalition,618,538,80
2002,Mangere,United Future,889,745,144
2002,Manukau East,ACT,1883,1636,247
2002,Manukau East,Alliance,214,179,35
2002,Manukau East,Christian Heritage,384,325,59
2002,Manukau East,Green Party,695,549,146
2002,Manukau East,Labour Party,15235,12926,2309
2002,Manukau East,Legalise Cannabis,129,97,32
2002,Manukau East,Mana Maori,15,3,12
2002,Manukau East,NMP,8,4,4
2002,Manukau East,NZ First,2199,1947,252
2002,Manukau East,National Party,4371,3779,592
2002,Manukau East,OneNZ Party,14,13,1
2002,Manukau East,Outdoor Rec. NZ,95,83,12
2002,Manukau East,Progressive Coalition,540,472,68
2002,Manukau East,United Future,1335,1188,147
2002,Manurewa,ACT,1332,1193,139
2002,Manurewa,Alliance,249,211,38
2002,Manurewa,Christian Heritage,509,436,73
2002,Manurewa,Green Party,970,795,175
2002,Manurewa,Labour Party,14752,12571,2181
2002,Manurewa,Legalise Cannabis,141,106,35
2002,Manurewa,Mana Maori,15,6,9
2002,Manurewa,NMP,5,4,1
2002,Manurewa,NZ First,2658,2400,258
2002,Manurewa,National Party,3261,2863,398
2002,Manurewa,OneNZ Party,14,13,1
2002,Manurewa,Outdoor Rec. NZ,186,171,15
2002,Manurewa,Progressive Coalition,550,480,70
2002,Manurewa,United Future,1443,1314,129
2002,Maungakiekie,ACT,2256,1886,370
2002,Maungakiekie,Alliance,250,206,44
2002,Maungakiekie,Christian Heritage,266,206,60
2002,Maungakiekie,Green Party,1466,1176,290
2002,Maungakiekie,Labour Party,13491,11213,2278
2002,Maungakiekie,Legalise Cannabis,93,63,30
2002,Maungakiekie,Mana Maori,14,6,8
2002,Maungakiekie,NMP,3,1,2
2002,Maungakiekie,NZ First,2044,1754,290
2002,Maungakiekie,National Party,4547,3843,704
2002,Maungakiekie,OneNZ Party,10,8,2
2002,Maungakiekie,Outdoor Rec. NZ,129,97,32
2002,Maungakiekie,Progressive Coalition,524,446,78
2002,Maungakiekie,United Future,1558,1352,206
2002,Mt Albert,ACT,2063,1714,349
2002,Mt Albert,Alliance,494,412,82
2002,Mt Albert,Christian Heritage,295,241,54
2002,Mt Albert,Green Party,3080,2404,676
2002,Mt Albert,Labour Party,15021,12350,2671
2002,Mt Albert,Legalise Cannabis,115,79,36
2002,Mt Albert,Mana Maori,6,3,3
2002,Mt Albert,NMP,4,3,1
2002,Mt Albert,NZ First,1855,1592,263
2002,Mt Albert,National Party,3777,3131,646
2002,Mt Albert,OneNZ Party,4,4,0
2002,Mt Albert,Outdoor Rec. NZ,98,78,20
2002,Mt Albert,Progressive Coalition,491,419,72
2002,Mt Albert,United Future,1534,1321,213
2002,Mt Roskill,ACT,2351,1991,360
2002,Mt Roskill,Alliance,357,303,54
2002,Mt Roskill,Christian Heritage,425,365,60
2002,Mt Roskill,Green Party,1577,1184,393
2002,Mt Roskill,Labour Party,14866,12302,2564
2002,Mt Roskill,Legalise Cannabis,109,81,28
2002,Mt Roskill,Mana Maori,10,3,7
2002,Mt Roskill,NMP,4,2,2
2002,Mt Roskill,NZ First,2329,2036,293
2002,Mt Roskill,National Party,5126,4344,782
2002,Mt Roskill,OneNZ Party,12,9,3
2002,Mt Roskill,Outdoor Rec. NZ,121,102,19
2002,Mt Roskill,Progressive Coalition,446,387,59
2002,Mt Roskill,United Future,2162,1872,290
2002,Napier,ACT,2061,1899,162
2002,Napier,Alliance,411,367,44
2002,Napier,Christian Heritage,515,478,37
2002,Napier,Green Party,2023,1771,252
2002,Napier,Labour Party,14853,13682,1171
2002,Napier,Legalise Cannabis,164,140,24
2002,Napier,Mana Maori,6,3,3
2002,Napier,NMP,6,4,2
2002,Napier,NZ First,3045,2827,218
2002,Napier,National Party,6074,5525,549
2002,Napier,OneNZ Party,119,113,6
2002,Napier,Outdoor Rec. NZ,805,739,66
2002,Napier,Progressive Coalition,492,464,28
2002,Napier,United Future,1977,1865,112
2002,Nelson,ACT,1346,1233,113
2002,Nelson,Alliance,398,352,46
2002,Nelson,Christian Heritage,628,584,44
2002,Nelson,Green Party,3008,2557,451
2002,Nelson,Labour Party,15149,13900,1249
2002,Nelson,Legalise Cannabis,193,159,34
2002,Nelson,Mana Maori,3,3,0
2002,Nelson,NMP,5,5,0
2002,Nelson,NZ First,2147,1973,174
2002,Nelson,National Party,6517,5811,706
2002,Nelson,OneNZ Party,30,25,5
2002,Nelson,Outdoor Rec. NZ,1602,1469,133
2002,Nelson,Progressive Coalition,441,400,41
2002,Nelson,United Future,2254,2114,140
2002,New Lynn,ACT,1929,1726,203
2002,New Lynn,Alliance,405,355,50
2002,New Lynn,Christian Heritage,440,371,69
2002,New Lynn,Green Party,2087,1701,386
2002,New Lynn,Labour Party,14128,12157,1971
2002,New Lynn,Legalise Cannabis,91,73,18
2002,New Lynn,Mana Maori,5,2,3
2002,New Lynn,NMP,6,5,1
2002,New Lynn,NZ First,2949,2665,284
2002,New Lynn,National Party,4315,3787,528
2002,New Lynn,OneNZ Party,11,11,0
2002,New Lynn,Outdoor Rec. NZ,175,158,17
2002,New Lynn,Progressive Coalition,485,438,47
2002,New Lynn,United Future,2109,1937,172
2002,New Plymouth,ACT,1491,1355,136
2002,New Plymouth,Alliance,294,260,34
2002,New Plymouth,Christian Heritage,400,372,28
2002,New Plymouth,Green Party,2039,1778,261
2002,New Plymouth,Labour Party,12605,11523,1082
2002,New Plymouth,Legalise Cannabis,182,160,22
2002,New Plymouth,Mana Maori,7,4,3
2002,New Plymouth,NMP,5,5,0
2002,New Plymouth,NZ First,3616,3402,214
2002,New Plymouth,National Party,6628,5957,671
2002,New Plymouth,OneNZ Party,13,13,0
2002,New Plymouth,Outdoor Rec. NZ,302,274,28
2002,New Plymouth,Progressive Coalition,366,344,22
2002,New Plymouth,United Future,2367,2242,125
2002,North Shore,ACT,4897,4437,460
2002,North Shore,Alliance,282,242,40
2002,North Shore,Christian Heritage,292,250,42
2002,North Shore,Green Party,2234,1843,391
2002,North Shore,Labour Party,10841,9492,1349
2002,North Shore,Legalise Cannabis,112,83,29
2002,North Shore,Mana Maori,1,1,0
2002,North Shore,NMP,5,5,0
2002,North Shore,NZ First,3525,3143,382
2002,North Shore,National Party,9507,8412,1095
2002,North Shore,OneNZ Party,18,16,2
2002,North Shore,Outdoor Rec. NZ,179,148,31
2002,North Shore,Progressive Coalition,363,326,37
2002,North Shore,United Future,2408,2199,209
2002,Northcote,ACT,3161,2848,313
2002,Northcote,Alliance,332,279,53
2002,Northcote,Christian Heritage,332,291,41
2002,Northcote,Green Party,1983,1649,334
2002,Northcote,Labour Party,12040,10554,1486
2002,Northcote,Legalise Cannabis,147,124,23
2002,Northcote,Mana Maori,8,4,4
2002,Northcote,NMP,6,6,0
2002,Northcote,NZ First,3069,2821,248
2002,Northcote,National Party,6687,5937,750
2002,Northcote,OneNZ Party,24,22,2
2002,Northcote,Outdoor Rec. NZ,221,193,28
2002,Northcote,Progressive Coalition,754,689,65
2002,Northcote,United Future,2283,2086,197
2002,Northland,ACT,2106,1907,199
2002,Northland,Alliance,232,197,35
2002,Northland,Christian Heritage,476,429,47
2002,Northland,Green Party,2651,2285,366
2002,Northland,Labour Party,8445,7632,813
2002,Northland,Legalise Cannabis,152,121,31
2002,Northland,Mana Maori,13,12,1
2002,Northland,NMP,4,3,1
2002,Northland,NZ First,5428,4984,444
2002,Northland,National Party,6523,5933,590
2002,Northland,OneNZ Party,23,18,5
2002,Northland,Outdoor Rec. NZ,383,350,33
2002,Northland,Progressive Coalition,424,391,33
2002,Northland,United Future,1656,1535,121
2002,Ohariu-Belmont,ACT,3428,3055,373
2002,Ohariu-Belmont,Alliance,418,362,56
2002,Ohariu-Belmont,Christian Heritage,292,252,40
2002,Ohariu-Belmont,Green Party,2183,1829,354
2002,Ohariu-Belmont,Labour Party,12374,10967,1407
2002,Ohariu-Belmont,Legalise Cannabis,126,95,31
2002,Ohariu-Belmont,Mana Maori,8,5,3
2002,Ohariu-Belmont,NMP,1,0,1
2002,Ohariu-Belmont,NZ First,1654,1491,163
2002,Ohariu-Belmont,National Party,8232,7399,833
2002,Ohariu-Belmont,OneNZ Party,21,17,4
2002,Ohariu-Belmont,Outdoor Rec. NZ,246,216,30
2002,Ohariu-Belmont,Progressive Coalition,394,349,45
2002,Ohariu-Belmont,United Future,4394,4007,387
2002,Otago,ACT,1919,1734,185
2002,Otago,Alliance,260,219,41
2002,Otago,Christian Heritage,431,403,28
2002,Otago,Green Party,2598,2173,425
2002,Otago,Labour Party,12943,11846,1097
2002,Otago,Legalise Cannabis,232,192,40
2002,Otago,Mana Maori,4,3,1
2002,Otago,NMP,7,5,2
2002,Otago,NZ First,2127,1961,166
2002,Otago,National Party,8472,7583,889
2002,Otago,OneNZ Party,19,18,1
2002,Otago,Outdoor Rec. NZ,635,578,57
2002,Otago,Progressive Coalition,528,476,52
2002,Otago,United Future,1779,1641,138
2002,Otaki,ACT,1662,1502,160
2002,Otaki,Alliance,421,359,62
2002,Otaki,Christian Heritage,662,609,53
2002,Otaki,Green Party,1964,1694,270
2002,Otaki,Labour Party,15700,14290,1410
2002,Otaki,Legalise Cannabis,184,161,23
2002,Otaki,Mana Maori,12,4,8
2002,Otaki,NMP,6,6,0
2002,Otaki,NZ First,3907,3634,273
2002,Otaki,National Party,7340,6612,728
2002,Otaki,OneNZ Party,128,116,12
2002,Otaki,Outdoor Rec. NZ,344,315,29
2002,Otaki,Progressive Coalition,720,670,50
2002,Otaki,United Future,2494,2358,136
2002,Pakuranga,ACT,4712,4263,449
2002,Pakuranga,Alliance,192,169,23
2002,Pakuranga,Christian Heritage,426,373,53
2002,Pakuranga,Green Party,1173,1003,170
2002,Pakuranga,Labour Party,10375,9069,1306
2002,Pakuranga,Legalise Cannabis,93,72,21
2002,Pakuranga,Mana Maori,2,2,0
2002,Pakuranga,NMP,4,3,1
2002,Pakuranga,NZ First,3859,3424,435
2002,Pakuranga,National Party,8470,7515,955
2002,Pakuranga,OneNZ Party,20,19,1
2002,Pakuranga,Outdoor Rec. NZ,204,179,25
2002,Pakuranga,Progressive Coalition,396,359,37
2002,Pakuranga,United Future,2543,2344,199
2002,Palmerston North,ACT,1620,1422,198
2002,Palmerston North,Alliance,700,617,83
2002,Palmerston North,Christian Heritage,442,391,51
2002,Palmerston North,Green Party,2241,1946,295
2002,Palmerston North,Labour Party,13051,11701,1350
2002,Palmerston North,Legalise Cannabis,166,129,37
2002,Palmerston North,Mana Maori,13,9,4
2002,Palmerston North,NMP,9,7,2
2002,Palmerston North,NZ First,2640,2406,234
2002,Palmerston North,National Party,6603,5819,784
2002,Palmerston North,OneNZ Party,75,66,9
2002,Palmerston North,Outdoor Rec. NZ,309,274,35
2002,Palmerston North,Progressive Coalition,535,477,58
2002,Palmerston North,United Future,2269,2096,173
2002,Piako,ACT,2575,2331,244
2002,Piako,Alliance,212,189,23
2002,Piako,Christian Heritage,411,371,40
2002,Piako,Green Party,1434,1215,219
2002,Piako,Labour Party,9688,8853,835
2002,Piako,Legalise Cannabis,142,105,37
2002,Piako,Mana Maori,12,8,4
2002,Piako,NMP,4,4,0
2002,Piako,NZ First,4752,4429,323
2002,Piako,National Party,8066,7278,788
2002,Piako,OneNZ Party,17,15,2
2002,Piako,Outdoor Rec. NZ,517,472,45
2002,Piako,Progressive Coalition,363,331,32
2002,Piako,United Future,2038,1874,164
2002,Port Waikato,ACT,3326,3003,323
2002,Port Waikato,Alliance,166,139,27
2002,Port Waikato,Christian Heritage,411,372,39
2002,Port Waikato,Green Party,1733,1460,273
2002,Port Waikato,Labour Party,8681,7844,837
2002,Port Waikato,Legalise Cannabis,142,117,25
2002,Port Waikato,Mana Maori,15,10,5
2002,Port Waikato,NMP,2,2,0
2002,Port Waikato,NZ First,5120,4723,397
2002,Port Waikato,National Party,8432,7622,810
2002,Port Waikato,OneNZ Party,27,24,3
2002,Port Waikato,Outdoor Rec. NZ,505,462,43
2002,Port Waikato,Progressive Coalition,312,279,33
2002,Port Waikato,United Future,2026,1871,155
2002,Rakaia,ACT,2525,2304,221
2002,Rakaia,Alliance,272,246,26
2002,Rakaia,Christian Heritage,420,384,36
2002,Rakaia,Green Party,1610,1366,244
2002,Rakaia,Labour Party,9938,9129,809
