year,electorate,party,ordinary_special,before_onday,local_overseas,votes
2014,Bay of Plenty,Democrats for Social Credit,ordinary,normal,local,21
2014,Bay of Plenty,Democrats for Social Credit,ordinary,advanced,local,9
2014,Bay of Plenty,Democrats for Social Credit,special,advanced,local,1
2014,Bay of Plenty,Democrats for Social Credit,special,normal,local,1
2014,Bay of Plenty,Democrats for Social Credit,special,advanced,overseas,1
2014,Bay of Plenty,Focus NZ,ordinary,normal,local,4
2014,Bay of Plenty,Focus NZ,ordinary,advanced,local,1
2014,Bay of Plenty,Focus NZ,special,advanced,local,1
2014,Bay of Plenty,Focus NZ,special,normal,local,0
2014,Bay of Plenty,Focus NZ,special,advanced,overseas,0
2014,Bay of Plenty,Green Party,ordinary,normal,local,1515
2014,Bay of Plenty,Green Party,ordinary,advanced,local,670
2014,Bay of Plenty,Green Party,special,advanced,local,116
2014,Bay of Plenty,Green Party,special,normal,local,278
2014,Bay of Plenty,Green Party,special,advanced,overseas,66
2014,Bay of Plenty,Internet MANA,ordinary,normal,local,91
2014,Bay of Plenty,Internet MANA,ordinary,advanced,local,47
2014,Bay of Plenty,Internet MANA,special,advanced,local,3
2014,Bay of Plenty,Internet MANA,special,normal,local,38
2014,Bay of Plenty,Internet MANA,special,advanced,overseas,8
2014,Bay of Plenty,Labour Party,ordinary,normal,local,2680
2014,Bay of Plenty,Labour Party,ordinary,advanced,local,1516
2014,Bay of Plenty,Labour Party,special,advanced,local,136
2014,Bay of Plenty,Labour Party,special,normal,local,407
2014,Bay of Plenty,Labour Party,special,advanced,overseas,44
2014,Bay of Plenty,Maori Party,ordinary,normal,local,125
2014,Bay of Plenty,Maori Party,ordinary,advanced,local,51
2014,Bay of Plenty,Maori Party,special,advanced,local,2
2014,Bay of Plenty,Maori Party,special,normal,local,24
2014,Bay of Plenty,Maori Party,special,advanced,overseas,5
2014,Bay of Plenty,National Party,ordinary,normal,local,11617
2014,Bay of Plenty,National Party,ordinary,advanced,local,7612
2014,Bay of Plenty,National Party,special,advanced,local,503
2014,Bay of Plenty,National Party,special,normal,local,1094
2014,Bay of Plenty,National Party,special,advanced,overseas,270
2014,Bay of Plenty,NZ First,ordinary,normal,local,2745
2014,Bay of Plenty,NZ First,ordinary,advanced,local,1946
2014,Bay of Plenty,NZ First,special,advanced,local,91
2014,Bay of Plenty,NZ First,special,normal,local,299
2014,Bay of Plenty,NZ First,special,advanced,overseas,19
2014,Bay of Plenty,NZ Independent Coalition,ordinary,normal,local,56
2014,Bay of Plenty,NZ Independent Coalition,ordinary,advanced,local,38
2014,Bay of Plenty,NZ Independent Coalition,special,advanced,local,2
2014,Bay of Plenty,NZ Independent Coalition,special,normal,local,8
2014,Bay of Plenty,NZ Independent Coalition,special,advanced,overseas,0
2014,Bay of Plenty,The Civilian Party,ordinary,normal,local,6
2014,Bay of Plenty,The Civilian Party,ordinary,advanced,local,0
2014,Bay of Plenty,The Civilian Party,special,advanced,local,0
2014,Bay of Plenty,The Civilian Party,special,normal,local,4
2014,Bay of Plenty,The Civilian Party,special,advanced,overseas,0
2014,Bay of Plenty,United Future,ordinary,normal,local,44
2014,Bay of Plenty,United Future,ordinary,advanced,local,19
2014,Bay of Plenty,United Future,special,advanced,local,2
2014,Bay of Plenty,United Future,special,normal,local,10
2014,Bay of Plenty,United Future,special,advanced,overseas,3
2014,Botany,ACT,ordinary,normal,local,555
2014,Botany,ACT,ordinary,advanced,local,164
2014,Botany,ACT,special,advanced,local,17
2014,Botany,ACT,special,normal,local,67
2014,Botany,ACT,special,advanced,overseas,5
2014,Botany,Aotearoa Legalise Cannabis Party,ordinary,normal,local,60
2014,Botany,Aotearoa Legalise Cannabis Party,ordinary,advanced,local,11
2014,Botany,Aotearoa Legalise Cannabis Party,special,advanced,local,4
2014,Botany,Aotearoa Legalise Cannabis Party,special,normal,local,15
2014,Botany,Aotearoa Legalise Cannabis Party,special,advanced,overseas,0
2014,Botany,Ban1080,ordinary,normal,local,8
2014,Botany,Ban1080,ordinary,advanced,local,1
2014,Botany,Ban1080,special,advanced,local,0
2014,Botany,Ban1080,special,normal,local,3
2014,Botany,Ban1080,special,advanced,overseas,0
2014,Botany,Conservative,ordinary,normal,local,928
2014,Botany,Conservative,ordinary,advanced,local,436
2014,Botany,Conservative,special,advanced,local,40
2014,Botany,Conservative,special,normal,local,102
2014,Botany,Conservative,special,advanced,overseas,13
2014,Botany,Democrats for Social Credit,ordinary,normal,local,3
2014,Botany,Democrats for Social Credit,ordinary,advanced,local,2
2014,Botany,Democrats for Social Credit,special,advanced,local,0
